"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec9 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)","P(Sec9)"
1.1,0.005681818181818182,1584,9,0.11019618921373696,0.04892972465693805,0.05897079329982886,0.07107242766155575,0.08565795686524579,0.10324052701387362,0.12442285483915548,0.14951344597468277,0.1753669087053258,0.1828253609833946,0.043537855460466054,0.052472436603276745,0.06324051697508332,0.07621877644286104,0.09186381436452688,0.11071193038478658,0.13303763399205878,0.1560421436518056,0.1626787029113987
1.2000000000000002,0.005681818181818182,1584,9,0.17311963782640893,0.019776004548346684,0.02812835090242187,0.04000828832759015,0.056906204339430264,0.0809455656256395,0.1151269906894699,0.16312088591638335,0.2245556471047247,0.271432062546016,0.01635238980328349,0.023258780981540453,0.0330820679422632,0.04705462285411247,0.06693229862087496,0.09519624775726451,0.13488145722461609,0.18568065480607987,0.2244418421835745
1.3,0.005681818181818182,1584,9,0.2329356939071957,0.007959984314060444,0.013137034607501348,0.02168115803348238,0.0357827527158916,0.05906069504125669,0.09746564524483904,0.16007661045287103,0.25424982593850776,0.35058629365158295,0.006105819844374381,0.010076950335320177,0.01663084244224159,0.027447672382105798,0.04530335105918029,0.07476241753761989,0.12278905411871967,0.19502596630773775,0.2689222320654996
1.4000000000000001,0.005681818181818182,1584,9,0.2864716424916431,0.0033006272550484255,0.0062331074590658165,0.01177098464726188,0.02222951799139109,0.04198483265605925,0.07927826466434669,0.1488247349166898,0.2689222789558608,0.41745565145429503,0.0023550911440420198,0.00444749892744032,0.008398931341616855,0.015861391460599755,0.02995736868534118,0.0565672899720641,0.10619066866172228,0.19188367200077952,0.29786644531476425
1.5,0.005681818181818182,1584,9,0.3336129042254847,0.001429562565681129,0.003053311776105473,0.006521376625689205,0.01392901034826426,0.029754984251600225,0.06354224373251209,0.13474906785589144,0.2737843192257055,0.4732361236185397,0.0009526420463722122,0.002034687566973053,0.004345761230044837,0.00928211275299299,0.019828337540240312,0.04234373125990513,0.08979503998681058,0.18244633735742066,0.31535844603374813
1.6,0.005681818181818182,1584,9,0.3751092828501277,0.0006491049104817622,0.0015525714916302532,0.0037135445296345225,0.008882663770983555,0.021250603780483115,0.050818175899296464,0.12053067992868106,0.27265303856570616,0.519949617123148,0.00040561963301645205,0.000970187512831276,0.002320559504291302,0.005550694134051104,0.013279305036253884,0.031755806381959725,0.07531850301919524,0.17037835280241592,0.3249116891258855
1.7000000000000002,0.005681818181818182,1584,9,0.4118098540148119,0.0003086955655161712,0.0008198906325214674,0.002177619707604672,0.005784041930252194,0.015366349504217752,0.040801681236351854,0.1073147738449226,0.26799307498002534,0.5594338725985885,0.00018157168974593696,0.00048225159083469015,0.0012808544537162147,0.0034021164673394876,0.009038335358145263,0.02399914684285091,0.06312149249421248,0.15763088589552057,0.3290534911928229
1.8,0.005681818181818182,1584,9,0.44446408422716466,0.00015333718701638626,0.00044892477522801813,0.0013143185671037904,0.0038482014540988582,0.011269962876016152,0.03298338423307636,0.09549090818799677,0.26133606467461684,0.5931548980448146,0.00008518431461117866,0.0002493938361194113,0.000730151168793245,0.002137814118881166,0.00626086914705349,0.018323454565209375,0.05304862912819853,0.1451815700134822,0.32951884948046883
1.9000000000000001,0.005681818181818182,1584,9,0.47369316856931776,0.00007928727869475774,0.00025423944865503843,0.0008152370753033246,0.0026143452026250523,0.0083862562268817,0.02687897883116933,0.0851042736555621,0.2536248903219305,0.6222424919591609,0.00004172943642259939,0.0001338079586463169,0.00042906484196770925,0.001375947739859596,0.004413743942335936,0.014146590180725113,0.04479096060886857,0.13348451239728953,0.32749047432455775
2,0.005681818181818182,1584,9,0.5000042664776254,0.00004253191537928379,0.0001485291692285971,0.0005186935410060978,0.0018115780440576654,0.006329200662197632,0.02209036297138916,0.07605602438983684,0.24543909706008185,0.6475639822467811,0.00002126577622817656,0.00007426395091792131,0.00025934455750866174,0.000905781292971641,0.003164573327705804,0.011045087237655224,0.038027687703592085,0.12271850136962491,0.3237792283061493
