"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)"
1.1,0.005681818181818182,1232,7,0.12189982722923232,0.07966872427403215,0.09601839098484155,0.11572759439001687,0.13947195054335412,0.1675972792102597,0.19657774971995462,0.20493831087752928,0.06995712054945429,0.08431376571296048,0.10162042062821913,0.12247034386879521,0.1471671998304396,0.17261495599198087,0.17995636618890776
1.2000000000000002,0.005681818181818182,1232,7,0.1802599453049136,0.04202129119879289,0.05976941987499204,0.08501831311747865,0.12091956448767874,0.17132825556955683,0.23585408502755248,0.2850890707239393,0.03444653554565663,0.04899538751741955,0.06969291664500592,0.09912261040683579,0.14044463359140225,0.1933390405605454,0.23369893042821333
1.3,0.005681818181818182,1232,7,0.2367672438022304,0.022148423744631787,0.036553931701772215,0.060333553151903495,0.09956619514730891,0.1635265328108509,0.2597293407579672,0.3581420226855797,0.016904402500051447,0.02789915804260864,0.04604854406333194,0.07599218154640558,0.12480880634869074,0.19823394061213304,0.2733457230845592
1.4000000000000001,0.005681818181818182,1232,7,0.2884337389788616,0.011884286282176637,0.022443488256310266,0.042388957735238444,0.08004135773575839,0.15025724765423537,0.27151079080547275,0.4214738715307898,0.008456457154713236,0.015970029022814525,0.030162552164246684,0.05695472965108897,0.10691798790465148,0.19319791824034274,0.2999065868832677
1.5,0.005681818181818182,1232,7,0.33461250206378035,0.00655074278047523,0.01399173352957847,0.02988897275923425,0.06382837833124995,0.135355851128219,0.2750171867174785,0.47536713475373704,0.0043587823483241675,0.00930992456503653,0.019887748800150706,0.042470604955156824,0.09006409111323307,0.18299299775940114,0.3163033483948989
1.6,0.005681818181818182,1232,7,0.3756260718870183,0.00372173859035054,0.008902263672010977,0.021297493968206994,0.0509303079552122,0.12079663502972125,0.2732546568983614,0.5210969038861591,0.0023237565430668378,0.005558341337990989,0.013297599967891933,0.03179955643799968,0.07542226951633725,0.17061308350279497,0.325359320806914
1.7000000000000002,0.005681818181818182,1232,7,0.412083404561152,0.0021800801288377257,0.005790577106222466,0.015383711356420098,0.040847781483271284,0.1074360246588383,0.26829586998580623,0.5600659552805772,0.001281705287130161,0.0034043763779164488,0.009044339205880447,0.02401508862087487,0.06316342184490834,0.15773559445235902,0.3292720696497631
1.8,0.005681818181818182,1232,7,0.4446128419661236,0.0013151106118159009,0.00385052047939851,0.011276754438828038,0.03300326084329229,0.09554845338708047,0.2614935522916137,0.5935123479479367,0.0007303955451966256,0.002138529626004378,0.006262964599626605,0.01832958724560682,0.053066383981182935,0.14523016085142218,0.32962913618481776
1.9000000000000001,0.005681818181818182,1232,7,0.4737763340299745,0.0008155090726376374,0.0026152174503679703,0.00838905420278792,0.0268879466812771,0.0851326676756007,0.2537095092218409,0.6224500956955161,0.0004291401738351933,0.0013761893140414165,0.004414518856612308,0.014149073873028214,0.04479882447806248,0.1335079480341731,0.32754797124028767
2,0.005681818181818182,1232,7,0.5000520363155009,0.0005187926584053783,0.0018119242291941198,0.006330410154904136,0.02209458438515544,0.07607055851304728,0.2454859998840094,0.6476877301753089,0.0002593693331442369,0.0009058678287362059,0.0031648756662319977,0.011046142471813793,0.03803132082494053,0.1227302257550637,0.323810161804581
