"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)"
1.1,0.005681818181818182,1056,6,0.13106903985080823,0.104330248809876,0.12574558470610203,0.15154537743289162,0.18210538273652574,0.21359455546641737,0.22267885084819422,0.09065578327096963,0.10926423165319477,0.13168247031893418,0.15823700506958538,0.18559892216407387,0.1934925476724401
1.2000000000000002,0.005681818181818182,1056,6,0.18669079645598707,0.062391177732383986,0.08874760194825297,0.1262236450339604,0.17884348993712035,0.24619971493555107,0.29759437041272013,0.05074331906969817,0.07217924145697471,0.10265885221099255,0.14545505635979103,0.20023649406699606,0.24203624037955138
1.3,0.005681818181818182,1056,6,0.24083847430740057,0.03738188145638697,0.061700113411090024,0.10182137817835067,0.16723042308365504,0.26561223304484377,0.3662539708256876,0.028378886159690624,0.04684035223256952,0.07729887280599985,0.12695490313040647,0.20164258808094188,0.2780459232830018
1.4000000000000001,0.005681818181818182,1056,6,0.2908936688186049,0.022713421065484955,0.042898779115202096,0.08100403285620288,0.15206442481112478,0.27477631114331386,0.42654303100869606,0.01610623068032425,0.030419795870542013,0.05744047254955921,0.1078298463810258,0.1948456218903928,0.30246436380956854
1.5,0.005681818181818182,1056,6,0.33607739025650096,0.01408399415754279,0.03008605879551208,0.064249258700996,0.13624837921457802,0.2768306329845376,0.47850167614683214,0.009350682156688002,0.01997481467241273,0.042656535510850475,0.09045837950146454,0.18379411630803894,0.3176880815940434
1.6,0.005681818181818182,1056,6,0.3765009684746807,0.008935519340617449,0.021377053775595657,0.05112056533683281,0.12124788797348263,0.274275438380701,0.5230435351927926,0.005571287655050739,0.013328572325948562,0.031873622978542064,0.07559794072595682,0.17101047020154947,0.3261171376382854
1.7000000000000002,0.005681818181818182,1056,6,0.41261225187095085,0.005803228602912121,0.015417322349461882,0.040937027480245115,0.107670755532971,0.2688820544137808,0.5612896116206515,0.003408745380942639,0.009055946257030077,0.024045908386718183,0.06324448263186519,0.15793802445442318,0.3296946410180831
1.8,0.005681818181818182,1056,6,0.4449378225696973,0.003855591007570316,0.011291604147162695,0.033046720936754204,0.0956742756423971,0.2618378980901495,0.5942939101759804,0.002140092739942674,0.006267542384605161,0.018342984880086358,0.0531051717621359,0.14533631384769208,0.3298700718158484
1.9000000000000001,0.005681818181818182,1056,6,0.47397973778095764,0.002617351919155537,0.008395901132266055,0.02690989193975487,0.08520215080206844,0.25391658049996285,0.622958123706785,0.0013767801428337095,0.004416414115159745,0.014155148414435952,0.04481805770653044,0.13356526625635307,0.32768859558372576
2,0.005681818181818182,1056,6,0.500181768125631,0.0018128647318939929,0.006333696031296482,0.02210605284411929,0.07611004384545991,0.2456134223233824,0.6480239202238331,0.0009061028449226577,0.003165696751592316,0.01104900824626907,0.03804118754271848,0.12276206647028567,0.32389417001857346
