"lambda","mu","capacity","k","P(Block)","P(Sec1 | Acc)","P(Sec2 | Acc)","P(Sec3 | Acc)","P(Sec4 | Acc)","P(Sec5 | Acc)","P(Sec6 | Acc)","P(Sec7 | Acc)","P(Sec8 | Acc)","P(Sec9 | Acc)","P(Sec10 | Acc)","P(Sec1)","P(Sec2)","P(Sec3)","P(Sec4)","P(Sec5)","P(Sec6)","P(Sec7)","P(Sec8)","P(Sec9)","P(Sec10)"
1.1,0.005681818181818182,1760,10,0.1063541889610201,0.03901444105063577,0.04702075879486954,0.05667008075799546,0.06829957662028241,0.08231605955566776,0.09921265555872744,0.11956856670477069,0.14368026245251542,0.1685250667863922,0.1756925317181339,0.034865091814927876,0.042019904128909435,0.05064298028062334,0.061035630542451216,0.07356140180315768,0.08866097404210993,0.10685194876765317,0.12839926466967164,0.1506017199887237,0.15700689500074347
1.2000000000000002,0.005681818181818182,1760,10,0.17115194515605592,0.013713111543435273,0.019504814004506547,0.0277426236990928,0.03945965021457718,0.05612584321639111,0.07983555005660357,0.11354824142209026,0.16088399100599263,0.22147629045665237,0.26770988438065096,0.011366085828634362,0.01616652714772817,0.02299441968926057,0.03270605432517472,0.04651979597638194,0.0661715403718122,0.09411423903365007,0.1333483830008476,0.1835701925390487,0.22189081693139973
1.3,0.005681818181818182,1760,10,0.2320770937281102,0.004799956634480754,0.007921776724217377,0.013073977402572177,0.021577089408501914,0.035610997050055763,0.05877720626420369,0.09699781437536065,0.1593082496696223,0.25302943781009174,0.34890349466090176,0.003685996648729499,0.006083313804898018,0.010039806723516238,0.016569541207465198,0.02734650034991851,0.04513636305694962,0.07448684351714822,0.12233645407938416,0.19430710125546802,0.26793098562841844
1.4000000000000001,0.005681818181818182,1760,10,0.2861148302625126,0.0017447359737411796,0.0032948685467047117,0.0062222323452837645,0.011750447397567637,0.022190733359590077,0.041911580212728,0.07913994502407742,0.14856507504127234,0.26845308056513006,0.41672730153388265,0.0012455411367613223,0.0023521577917270014,0.004441959393958984,0.00838847013490399,0.015841635451010284,0.029920055554129646,0.05649683308652893,0.10605840381290124,0.19164467298578924,0.2974954403897609
1.5,0.005681818181818182,1760,10,0.3334641701150403,0.0006688738596225753,0.0014286063739331878,0.0030512695004123987,0.006517014651282026,0.0139196936004001,0.02973508192239565,0.06349974198712165,0.13465893772479126,0.27360119204538913,0.4729195883346525,0.00044582839311188934,0.0009522173350285005,0.0020337804486600447,0.004343823768964707,0.009277974525687044,0.01981949750584125,0.04232485322286695,0.08975500680782086,0.1823649975974877,0.3152178502794911
1.6,0.005681818181818182,1760,10,0.37504568157760976,0.0002713062373121312,0.0006489287966515282,0.0015521502624345756,0.0037125370159134703,0.00888025384408685,0.02124483835574715,0.05080438860992304,0.12049797920571961,0.27257906610457966,0.5198085515676228,0.0001695540046231462,0.00040555085381601763,0.0009700230093489343,0.0023201660403980974,0.005549752988549109,0.013277053474609814,0.0317504220565807,0.07530573246578585,0.17034946447359922,0.32485659905507364
1.7000000000000002,0.005681818181818182,1760,10,0.41178170333101616,0.00011621270643072843,0.0003086596952835988,0.0008197953544922203,0.0021773666436099987,0.005783369753549734,0.01536456374087734,0.0407969395632571,0.1073023025035862,0.2679619307750221,0.5593688592639126,0.00006835844022797573,0.00018155928021008607,0.0004822186270365596,0.0012807668983281359,0.0034018839054399453,0.0090377175127209,0.023997506299206568,0.06311717760731951,0.15762011049261568,0.32903099760589116
1.8,0.005681818181818182,1760,10,0.4444511525149411,0.00005237180283983674,0.0001533291447737159,0.0004489012542242541,0.0013142497255386847,0.003847999910220568,0.011269372643013429,0.03298165683159571,0.09548590715926948,0.2613223780456018,0.5931238334828697,0.00002909509470838604,0.00008518182966490761,0.0002493865744188818,0.0007301299203305713,0.002137751915245647,0.006260686983705762,0.018322921440940717,0.0530470856733975,0.14517734594528897,0.3295092621073282
1.9000000000000001,0.005681818181818182,1760,10,0.4736870041295916,0.000024725898763808244,0.00007928532143696308,0.0002542331653446576,0.0008152169206163214,0.0026142805630692736,0.008386048871180508,0.02687831422552423,0.08510216937563925,0.253618619214816,0.6222271064435747,0.000013013561853968347,0.00004172889505403636,0.00013380621890216363,0.00042905925977382504,0.0013759298351947676,0.00441368650490667,0.014146406083981876,0.044790377719163624,0.13348277528746616,0.3274862125040934
2,0.005681818181818182,1760,10,0.5000012217090598,0.000012178985931440753,0.00004253140024481777,0.00014852736308611117,0.0005186872262511043,0.0018115559828841886,0.006329123580479787,0.022090093934041797,0.07605509810429707,0.24543610785771316,0.6475560955650811,0.000006089478086542925,0.00002126564816141188,0.00007426350008583047,0.0002593429794406686,0.0009057757782477377,0.0031645540578922747,0.011045019979353006,0.03802745613494614,0.12271775407734001,0.3237772566573919
